,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
женщина,,,,woman,female,,
мужчина,,,,man,male,,
старик,,,,old,aged,,
ребенок,,,,child,baby,kid,
человек,,,,man,human,person,
собака,,,,dog,hound,,
кот,,,,cat,kitty,,
мир,,,,world,peace,universe,
определять,,,,define,determine,state,
наследовать,,,,inherit,derive,,
смерть,,,,death,dying,,
жизнь,,,,life,living,,
теплый,,,,warm,hot,,
идти,,,,go,walk,move,
ехать,,,,go,drive,ride,
есть,,,,eat,consume,,
быть,,,,be,exists,,
мы,,,,we,,,
он,,,,he,,,
я,,,,I,,,
алебастр,,,,alabaster,,,
англию,,,,england,,,
антипьевне,,,,,,,
античная,,,,antique,,,
артели,,,,team,gang,crew,
архангели,,,,archangel,,,
астролябий,,,,astrolabe,,,
балахона,,,,hoodie,,,
банкирских,,,,banker,,,
банку,,,,bank,,,
баснословный,,,,fabulous,fabled,,
бассейн,,,,pool,basin,pond,
башмачок,,,,shoe,boot,clog,
березов,,,,birch,,,
бестолковым,,,,stupid,goofy,incoherent,
благополучно,,,,prosperous,successful,,
благорастворенный,,,,,,,
благородное,,,,noble,aristocratic,,
бонапарт,,,,bonaparte,,,
бриллиантами,,,,brilliant,diamond,,
бричке,,,,,,,
бросающее,,,,throw,drop,cast,
булка,,,,bread,loaf,bun,
бурдалу,,,,,,,
васильича,,,,,,,fire
ваших,,,,your,,,
ведерные,,,,bucket,pail,,
веревкиной,,,,,,,
вест,,,,,,,
вечор,,,,evening,,,
вещью,,,,thing,,,
взводом,,,,platoon,,,
взиравший,,,,,,,
видывано,,,,,,,
внешнего,,,,external,foreign,,
вожжей,,,,reins,rein,,
возвещаются,,,,announce,proclaim,,
возвышалася,,,,rise,tower,dominate,
возлежали,,,,,,,
возмездия,,,,retribution,requital,revenge,
волну,,,,wave,,,
волченят,,,,pup,cud,wolf,
вольные,,,,,,,
волюшке,,,,will,freedom,liberty,
воля,,,,will,freedom,liberty,
вороненой,,,,blued,,,
вороны,,,,raven,crow,,
воспитанницы,,,,pupil,alumnus,,
воспрещалось,,,,forbid,prohibit,,
воспринимавший,,,,perceive,accept,,
восторгу,,,,rapture,delight,,
всеведущий,,,,omniscient,allwissend,,
всходы,,,,shoot,sprout,,
втекает,,,,,,,
втянули,,,,involve,draw,retract,
вулканов,,,,volcano,,,
выгоняется,,,,expel,kick,dismiss,
выделанное,,,,manufacture,fabricate,,
выкормлены,,,,nurse,rear,feed,
выкрасить,,,,,,,
вынесут,,,,endure,take,remove,
выпучил,,,,,,,
вырвусь,,,,tear,wrest,rip,
высмотрела,,,,,,,
вытверженных,,,,,,,
выходит,,,,,,,
вязли,,,,stuck,,,
географией,,,,geography,,,
германолавяноитовской,,,,,,,
гиганты,,,,giant,titan,,
гладкое,,,,smooth,sleek,plain,
глиняном,,,,clay,,,
горожанин,,,,citizen,townsman,,
горских,,,,,,,
границах,,,,margin,border,boundary,
гребцов,,,,rower,oarer,,
гробовое,,,,coffin,casket,,
грозную,,,,formidable,fearsome,frightful,fearful
